tipo_de_acidente;grupo_tdacidente;sub_grupo_tdacidente
Colisão Traseira;Colisao;Colisão Traseira
Saida de Pista;Saída de Pista;Saída de Pista
Colisão Lateral;Colisao;Colisão Lateral
Capotamento;Capotamento;Capotamento
Engavetamento;Colisao;Engavetamento
"Choque - Defensa, barreira ou ""submarino""";Choque;Choque Objeto
Choque - Objeto Fixo;Choque;Choque Objeto
Queda de Moto;Queda;Queda de Moto
Colisão traseira;Colisao;Colisão Traseira
Tombamento;Tombamento;Tombamento
Colisão Transversal;Colisao;Colisão Transversal
Abalroamento longitudinal;Choque;Choque com Veiculos
Choque - Elemento de Drenagem;Choque;Choque Objeto
Choque em objeto fixo;Choque;Choque Objeto
Colisão Frontal;Colisao;Colisao Frontal
Atropelamento de Animal;Choque;Choque com Animal
Saída de Pista;Saída de Pista;Saída de Pista
Queda de moto;Queda;Queda de Moto
Choque em barreira New Jersey;Choque;Choque Objeto
Outros;Outros;Outros
Outros - Sequência;Outros;Outros
Choque - Defensa, barreira ou  submarino;Choque;Choque Objeto
Abalroamento Longitudinal;Choque;Choque com Veiculos
Choque em objeto na pista;Choque;Choque Objeto
Choque - Talude;Choque;Choque Objeto
Derrapagem;Derrapagem;Derrapagem
Choque - Objeto sobre a pista;Choque;Choque Objeto
Choque em Barreira New Jersey;Choque;Choque Objeto
Choque - Outros;Choque;Choque Objeto
Choque - Suporte de Sinalização;Choque;Choque Objeto
Choque com objeto fixo;Choque;Choque Objeto
Choque em defensa;Choque;Choque Objeto
Atropelamento - Morador;Atropelamento;Atropelamento
Colisão - Traseira;Colisao;Colisão Traseira
Queda de ribanceira;Queda;Queda de ribanceira
Colisão com veículos (traseira);Colisao;Colisão Traseira
Objeto lançado contra veículo;Colisao;Objeto Lançado Contra Veiculo
Atropelamento - Animal;Atropelamento;Atropelamento de Animal
Atropelamento de pedestre atravessando;Atropelamento;Atropelamento
Atropelamento de animal;Atropelamento;Atropelamento de Animal
Abalroamento - Longitudinal;Choque;Choque com Veiculos
Atropelamento - Ciclista;Atropelamento;Atropelamento
;Missing;Missing
Atropelamento - Pedestre;Atropelamento;Atropelamento
Choque em veículo parado na pista;Choque;Choque Objeto
Colisão c/ obstáculos;Colisao;Colisão com Objeto
Choque com Objeto Fixo;Choque;Choque Objeto
Atropelamento - Andarilho;Atropelamento;Atropelamento
Choque c/ Objeto Fixo;Choque;Choque Objeto
Colisão lateral no mesmo sentido;Colisao;Colisão Lateral
Choque - Poste;Choque;Choque Objeto
Saídas de pista;Saída de Pista;Saída de Pista
Choque - Cancela de Pedagio;Choque;Choque Objeto
Queda de Carga;Queda;Queda de Carga
Tombamento de Moto;Queda;Queda de Moto
Abalroamento transversal;Choque;Choque com Veiculos
Colisão - Lateral;Colisao;Colisão Lateral
Outros - sequências;Outros;Outros
Colisão frontal;Colisao;Colisao Frontal
Colisão lateral no sentido contrário;Colisao;Colisão Lateral
Atropelamento de Pedestre;Atropelamento;Atropelamento
Choque Talude;Choque;Choque Objeto
Choque em Defensa;Choque;Choque Objeto
Atropelamento de animais;Atropelamento;Atropelamento de Animal
Abalr.Transversal;Choque;Choque com Veiculos
